casa_artesania_id,casa_artesania_nombre,casa_artesania_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,casa_artesania_calle_numero,casa_artesania_colonia,casa_artesania_cp,casa_artesania_telfono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
250,"Casa del Artesano","Asociación de Artesanos y Manualidades de Aguascalientes, A.C.",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 210","Centro","20000","","","enzoluraschi@yahoo.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=250","2018-06-20 04:27:02-05"
34,"Casa de Artesanías del Centro de Artes y Oficios","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Héroe de Nacozari 601 Nte. esq. Ventura Salazar","Barrio de la Estación","20254","","http://www.aguascalientes.gob.mx","artesyoficios1979@hotmail.com",-102.28177,21.88286,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=34","2020-03-12 08:16:43-06"
222,"Casa de las Artesanías Aguascalientes","Casa de las Artesanías Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Manuel M. Ponce 134","Barrio de San Marcos","20070","","https://www.facebook.com/p/Casa-de-las-Artesan%C3%ADas-Aguascalientes-61552652739252/?_rdr","luisa_muller69@hotmail.com",-102.3035,21.87898,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=222","2024-03-25 10:13:47-06"
284,"Casa del Artesano Calvillo","Municipio de Calvillo",1,"Aguascalientes",3,"Calvillo",1,"Calvillo","Zaragoza 300","Centro","20800","","","fomentoartesanal@gmail.com",-102.71618,21.84665,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=284","2024-08-01 13:19:42-06"
282,"Cecut Arte Tradicional","Centro Cultural Tijuana",2,"Baja California",4,"Tijuana",1,"Tijuana","Paseo de los Héroes 9350"," Zona Urbana Río","22010","","","",-117.023,32.5304,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=282","2023-02-27 05:50:38-06"
285,"Casa de la artesanía Santa Rosalía","Hagamos Mas por Santa Rosalía, A.C.",3,"Baja California Sur",2,"Mulegé",1,"Santa Rosalía","Calle 5 entre Av. Obregón y Constitución ","Centro ","23920","","https://www.hagamosmas.org.mx/","fundacion@hagamosmas.org.mx",-112.26975,27.3361,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=285","2024-08-09 11:19:01-06"
85,"Casa del Artesano Sudcaliforniano","Asociación de Artesanos Sudcalifornianos, A.C.",3,"Baja California Sur",3,"La Paz",1,"La Paz","Av. Álvaro Obregón s/n entre Nicolás Bravo y Rosales","Centro","23000","","http://casadelartesanosudcaliforniano.blogspot.mx/","casartsbcs@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=85","2024-10-14 14:57:47-06"
117,"Bazar Artesanal","Gobierno del Estado de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. Pedro Saenz de Baranda s/n local L-201-223","Centro","24000","","https://www.facebook.com/bazarartesanalcampeche/?locale=es_LA"," bazarartesanal2020@gmail.com",-90.53594,19.85074,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=117","2023-06-30 05:46:04-06"
29,"Casa de Artesanías Tukulná","Gobierno del Estado de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 10 núm. 333 entre 59 y 61","Centro","24000","","http://www.tukulna.com.mx/","tukulna@inefaac.gob.mx",-90.53854,19.8448,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=29","2022-06-27 07:24:44-05"
216,"Casa del Artesano de Coahuila","Secretaría de Turismo de Coahuila",5,"Coahuila de Zaragoza",30,"Saltillo",1,"Saltillo","Av. Miguel Hidalgo 305","Centro","25000","","https://coahuilacultura.gob.mx/","culturacoah@gmail.com",-101.00107,25.42019,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=216","2024-09-17 13:58:27-06"
54,"Tienda de Artesanías del DIF","DIF",6,"Colima",2,"Colima",1,"Colima","And. Constitución s/n esq. Zaragoza","Centro","28000","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=54","2021-08-06 09:08:49-05"
224,"Tienda Casa Chiapas Aeropuerto","Gobierno del Estado, Instituto Casa Chiapas",7,"Chiapas",27,"Chiapa de Corzo",1,"Chiapa de Corzo","Aeropuerto Ángel Albino Corzo s/n, Francisco Sarabia","","29176","","http://www.chiapasdespega.com/","aeropuertotuxt@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=224","2023-11-08 06:02:59-06"
35,"Tienda Casa Chiapas Palenque","Gobierno del Estado de Chiapas/Instituto Casa de las Artesanías",7,"Chiapas",65,"Palenque",1,"Palenque","Carr. Zona Arqueológica Km. 6.5","Col. Palenque","29960","","http://casachiapas.gob.mx/funcionarios1","cmartinez.viramontes@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=35","2024-03-12 08:17:38-06"
47,"Tienda Casa Chiapas San Cristóbal de las Casas","Gobierno del Estado, Instituto Casa Chiapas",7,"Chiapas",78,"San Cristóbal de las Casas",1,"San Cristóbal de las Casas","Av. Hidalgo s/n esq. Niños Héroes Nte.","Centro","29200","","","",-92.63805,16.73506,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=47","2023-12-06 04:56:17-06"
108,"Tienda Casa de las Artesanías de Chiapas","Gobierno del Estado, Instituto Casa Chiapas",7,"Chiapas",101,"Tuxtla Gutiérrez",1,"Tuxtla Gutiérrez","Blvd. Belisario Domínguez 2035","Col. Xamaipak","29060","","https://casadelasartesaniaschiapas.gob.mx/","icasachiapas@gmail.com; tiendatuxtla@gmail.com",-93.13774,16.75461,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=108","2025-04-21 12:28:42-06"
49,"Museo Casa de las Artesanías","Gobierno del Estado de Chihuahua",8,"Chihuahua",9,"Bocoyna",1,"Bocoyna","Av. Ferrocarril 172","Centro","33200","","","",-107.63491,27.75323,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=49","2020-02-04 11:02:38-06"
