catedral_id,catedral_nombre,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,catedral_calle_numero,catedral_colonia,catedral_cp,catedral_telfono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
83,"Catedral Basílica de Nuestra Señora de la Asunción ",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Plaza de la Patria s/n","Centro","","","https://www.ags.gob.mx/turismo/conocemas/catedralags/","",-102.29645,21.87895,"http://sic.gob.mx/ficha.php?table=catedral&table_id=83","2023-11-07 06:26:44-06"
2,"Nuestra Señora de Guadalupe ",2,"Baja California",2,"Mexicali",1,"Mexicali","Morelos 192 ","1ra. sección","21100","","","",-115.48931,32.66338,"http://sic.gob.mx/ficha.php?table=catedral&table_id=2","2018-12-13 06:18:49-06"
1,"Nuestra Señora de Guadalupe ",2,"Baja California",4,"Tijuana",1,"Tijuana","Av. Niños Héroes 7982 y Calle 2da ","Centro","22000","","https://www.catedraldetijuana.org/","",-117.04048,32.53532,"http://sic.gob.mx/ficha.php?table=catedral&table_id=1","2023-09-21 08:50:06-06"
45,"Catedral de Nuestra Señora de La Paz ",3,"Baja California Sur",3,"La Paz",1,"La Paz","Revolución de 1910 s/n esq. 5 de Mayo e Independencia","Centro","","","","",-110.31288,24.1616,"http://sic.gob.mx/ficha.php?table=catedral&table_id=45","2023-10-25 07:17:41-06"
87,"Nuestra Señora de la Purísima Concepción",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 55 entre 8 y 10 ","Centro Histórico","24000","","https://es.wikipedia.org/wiki/Catedral_de_Campeche","",-90.53619,19.84608,"http://sic.gob.mx/ficha.php?table=catedral&table_id=87","2017-04-17 12:30:15-05"
13,"Catedral de Santiago Apóstol",5,"Coahuila de Zaragoza",30,"Saltillo",1,"Saltillo","Miguel Hidalgo esq. Juárez","Centro","","","https://viveloensaltillo.com/iglesias/catedral-de-santiago/","",-100.99972,25.42156,"http://sic.gob.mx/ficha.php?table=catedral&table_id=13","2023-11-08 07:57:13-06"
12,"Nuestra Señora del Carmen ",5,"Coahuila de Zaragoza",35,"Torreón",1,"Torreón","Matamoros 45 Pte.","Torreón Coah","27000","","","",-103.44949,25.54002,"http://sic.gob.mx/ficha.php?table=catedral&table_id=12","2018-12-10 07:00:57-06"
14,"Nuestra Señora de Guadalupe ",6,"Colima",2,"Colima",1,"Colima","Reforma esq. Francisco I Madero","Centro","","","","",-103.72779,19.24311,"http://sic.gob.mx/ficha.php?table=catedral&table_id=14","2018-12-10 07:06:31-06"
16,"Catedral de San Cristóbal de las Casas",7,"Chiapas",78,"San Cristóbal de las Casas",1,"San Cristóbal de las Casas","Plaza 31 de Marzo Norte 3","Centro","29200","","https://www.minube.com.mx/rincon/catedral-san-cristobal-de-las-casas-a98894#","",-92.63773,16.73746,"http://sic.gob.mx/ficha.php?table=catedral&table_id=16","2023-11-24 06:18:34-06"
8,"San José",7,"Chiapas",89,"Tapachula",1,"Tapachula de Córdova y Ordóñez","Av. Primera Sur 1","Centro","30700","","","",-92.26275,14.90581,"http://sic.gob.mx/ficha.php?table=catedral&table_id=8","2018-12-07 09:04:07-06"
7,"Catedral de San Marcos",7,"Chiapas",101,"Tuxtla Gutiérrez",1,"Tuxtla Gutiérrez","Av. Central Oriente","Centro","29000","","https://www.facebook.com/catedralmetropolitanasanmarcos/?locale=es_LA","catedralsanmarcostgz@gmail.com",-93.11547,16.75313,"http://sic.gob.mx/ficha.php?table=catedral&table_id=7","2023-11-09 06:30:54-06"
10,"San Antonio de Padua ",8,"Chihuahua",17,"Cuauhtémoc",1,"Cuauhtémoc","","","","","","",-106.8692,28.40721,"http://sic.gob.mx/ficha.php?table=catedral&table_id=10","2018-12-10 06:24:36-06"
81,"Nuestra Señora de Regla",8,"Chihuahua",19,"Chihuahua",1,"Chihuahua","Plaza de Armas entre Victoria y Libertad","Centro","31000","","","",-106.07724,28.63592,"http://sic.gob.mx/ficha.php?table=catedral&table_id=81","2017-04-11 12:35:25-05"
11,"Nuestra Señora de Guadalupe ",8,"Chihuahua",32,"Hidalgo del Parral",1,"Hidalgo del Parral","Frente a la Plaza Guillermo Baca, Av. Maclovio Herrera s/n esq. Pedro T. Gómez Centenario","Centro","","","","",-105.66861,26.93361,"http://sic.gob.mx/ficha.php?table=catedral&table_id=11","2023-10-24 07:07:38-06"
82,"Nuestra Señora de Guadalupe ",8,"Chihuahua",37,"Juárez",1,"Juárez","Frente a la Plaza de Armas","","","","","",-106.48689,31.73877,"http://sic.gob.mx/ficha.php?table=catedral&table_id=82","2018-12-10 06:33:56-06"
3,"Catedral de Nuestra Señora de la Medalla Milagrosa ",8,"Chihuahua",50,"Nuevo Casas Grandes",1,"Nuevo Casas Grandes","Av. Benito Juárez 200","Centro","31700","","https://www.facebook.com/p/Catedral-de-Nuevo-Casas-Grandes-100079061060245/","catedralncg@hotmail.com",-107.91402,30.41626,"http://sic.gob.mx/ficha.php?table=catedral&table_id=3","2023-10-17 09:25:17-06"
84,"Catedral Metropolitana La Asunción de la Virgen María",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Plaza de la Constitución","Centro Histórico","06010","","","",-99.13311,19.43393,"http://sic.gob.mx/ficha.php?table=catedral&table_id=84","2017-04-10 22:31:52-05"
