centro_cultural_id,centro_cultural_nombre,centro_cultural_fecha_fundacion,centro_cultural_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,centro_cultural_calle_numero,centro_cultural_colonia,centro_cultural_cp,centro_cultural_telefono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
289,"Centro Regional de Cultura de Acambay Dr. Maximiliano Ruiz Castañeda","1978-11-01","Secretaría de Cultura y Turismo  del Gobierno del  Estado de México/Dirección de Patrimonio y Servicios Culturales del Valle de Toluca",15,"México",1,"Acambay de Ruíz Castañeda",1,"Villa de Acambay de Ruíz Castañeda","Dra. María Luisa Ochoa de Ruiz Castañeda 9","Centro","50300","718 127 06 64","https://patrimonioyserviciosc.edomex.gob.mx/acambay","acambayimc@yahoo.com.mx",-99.84527,19.95399,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=289","2024-09-06 13:14:10-06"
367,"Casa de Cultura Aculmaitl","1992-01-01","Ayuntamiento de Acolman",15,"México",2,"Acolman",1,"Acolman de Nezahualcóyotl","Calz. de los Agustinos s/n","Centro","55870","(595) 957 00 50 ext. 138","","comunicacionsocial@acolman.gob.mx",-98.91201,19.63406,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=367","2019-11-11 05:01:14-06"
959,"Casa de Cultura Aculco","1996-12-10","Ayuntamiento de Aculco",15,"México",3,"Aculco",1,"Aculco de Espinoza","Av. Manuel del Mazo 4 esq. Pípila","Centro","50360","7121439626","http://aculco.azurewebsites.net/Casa_de_cultura.html","educacionycultura.aculco2224@gmail.com",-99.8274,20.09893,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=959","2023-07-14 04:39:48-06"
2218,"Casa de Cultura Lic. César Camacho Quiroz","2000-08-01","Ayuntamiento de Almoloya de Alquisiras",15,"México",4,"Almoloya de Alquisiras",1,"Almoloya de Alquisiras","Benito Juárez s/n","Col. Saltepec","51860","716 144 51 96","","casadeculturaalmoloyadealquisiras2019@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2218","2021-08-23 06:48:09-05"
2220,"Casa de Cultura Ignacio Manuel Altamirano","1980-04-13","Ayuntamiento de Almoloya del Río",15,"México",6,"Almoloya del Río",1,"Almoloya del Río","Plaza Chignahuapan s/n","Centro","52540","713 131 79 11","https://almoloyadelrio.gob.mx/casa-de-cultura-de-almoloya-del-rio/","casadecultalmoloya@gmail.com; presidencia@almoloyadelrio.gob.mx",-99.48889,19.15949,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2220","2025-05-22 12:53:44-06"
406,"Casa de Cultura Ricardo García Álvarez","1994-03-01","Ayuntamiento de Amanalco",15,"México",7,"Amanalco",1,"Amanalco de Becerra","Emilio R. Becerril s/n esq. Onécimo Reyes","Centro","51260","726 251 01 94","","",0,0,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=406","2021-04-21 05:13:08-05"
2221,"Casa de Cultura Municipal Profr. Enrique Gómez García","1995-01-06","Ayuntamiento de Amatepec",15,"México",8,"Amatepec",1,"Amatepec","Hidalgo 24","Centro","50500","722 155 7924","","espe53@icloud.com",-100.18722,18.68456,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=2221","2023-07-27 07:11:09-06"
3872,"Casa del Pueblo Amecameca","2022-12-07","Gobierno Municipal de Amecameca",15,"México",9,"Amecameca",1,"Amecameca de Juárez","Carr. a Ayapango 5","Col. Sector Sacromonte","56900","","","casadelpueblo63@gmail.com",-98.77535,19.13204,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=3872","2025-05-19 12:40:14-06"
1246,"Centro Regional de Cultura de  Apaxco","1989-09-01","Secretaría de Cultura y Turismo del Gobierno del Estado de México/Dirección de Patrimonio y Servicios Culturales del Valle de Toluca",15,"México",10,"Apaxco",1,"Apaxco de Ocampo","Plaza Melchor Ocampo s/n","Centro","55660","599 998 21 79 ","https://patrimonioyserviciosc.edomex.gob.mx/apaxco","apaxcoimc@yahoo.com",-99.1746,19.97633,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=1246","2024-09-06 13:13:37-06"
568,"Centro Cultural Atenco José Enrique Espinoza Suárez","20015-09-01","Ayuntamiento de Atenco",15,"México",11,"Atenco",1,"San Salvador Atenco","27 de Septiembre s/n","Centro","56300","595 953 28 88","https://atencoedomex.gob.mx/","dir.educacion.cultura.atenco22.24@gmail.com",-98.91674,19.55239,"http://sic.gob.mx/ficha.php?table=centro_cultural&table_id=568","2025-05-15 12:01:19-06"
