fonoteca_id,fonoteca_nombre,fonoteca_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,fonoteca_calle_numero,fonoteca_colonia,fonoteca_cp,fonoteca_telfono1,fonoteca_pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
36,"Fonoteca El Colegio de la Frontera Norte ","El Colegio de la Frontera Norte, A.C.    ",2,"Baja California",4,"Tijuana",606,"San Antonio del Mar","Carr. Escénica Tijuana-Ensenada Km 18.5","Col. San Antonio del Mar","22560","","","fonoteca@colef.mx",-117.11115,32.45679,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=36","2024-10-31 13:43:08-06"
4,"Sala de Fonoteca","Universidad Nacional Autónoma de México/Instituto de Investigaciones Bibliográficas, Biblioteca Nacional de México",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Centro Cultural Universitario, Zona Cultura","Ciudad Universitaria","04510","","","sonias@unam.mx",-99.1851,19.31655,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=4","2023-10-24 05:14:07-06"
14,"Fonoteca del Cine Nacional Manuel Esperón","Secretaría de Cultura/Estudios Churubusco Azteca",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Atletas 21, int. Sala de Música Silvestre Revueltas","Col. Country Club ","14220","","","barochi@estudioschurubusco.com; tlacamata@estudioschurubusco.com",-99.14228,19.3548,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=14","2018-07-16 06:05:06-05"
13,"Fonoteca de la Biblioteca Cuicamatini","UNAM/Facultad de Música",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Xicoténcatl 126","Col. Del Carmen","04100","","","cuicamatini@gmail.com",-99.15393,19.35462,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=13","2018-08-14 07:39:09-05"
32,"Fonoteca Nacional","Secretaría de Cultura",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Francisco Sosa 383","Barrio de Santa Catarina","04010","","","informesfonoteca@cultura.gob.mx",-99.17709,19.34974,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=32","2024-10-24 13:39:39-06"
5,"Centro Nacional de Investigación, Documentación e Información Musical Carlos Chávez","Secretaría de Cultura/INBA/Cenidim",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Centro Nacional de las Artes, 7º piso de la Torre de investigación, Río Churubusco 79 ","Col. Country Club ","04220","","","cd.cenidim@cultura.gob.mx",-99.14148,19.35569,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=5","2018-09-13 07:03:40-05"
6,"Fonoteca del Centro Nacional de las Artes","Secretaría de Cultura/CENART",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Av. Río Churubusco 79","Col. Country Club ","14220","","","fonoteca@cultura.gob.mx",-99.13942,19.35635,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=6","2023-10-04 04:39:54-06"
10,"Dirección General de Culturas Populares e Indígenas","Secretaría de Cultura/DGCPIU",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Av. Hidalgo 589, Centro de Información y Documentación Alberto Beltrán (CID)<br> Av. Hidalgo 289 (entrada por el Museo Nacional de Culturas Populares","Del Carmen","04100","","","dreynosor@cultura.gob.mx",-99.16073,19.35001,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=10","2024-05-28 13:45:55-06"
20,"Fonoteca IMER, Departamento de Proyectos Especiales","Instituto Mexicano de la Radio, IMER",9,"Ciudad de México",10,"Álvaro Obregón",1,"Álvaro Obregón","Margaritas 18","Col. Florida ","01030","","","luis.lopez@imer.com.mx; carolina.duran@imer.com.mx",-99.17826,19.36412,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=20","2024-07-26 10:18:28-06"
12,"Fonoteca de la Escuela Nacional de Antropología e Historia","Secretaría de Cultura/INAH",9,"Ciudad de México",12,"Tlalpan",1,"Tlalpan","Periférico Sur y Zapote s/n","Col. Isidro Fabela","14030","","","direccion.enah@inah.gob.mx",-99.18003,19.30258,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=12","2024-03-19 08:15:29-06"
