galeria_id,galeria_nombre,galeria_fecha_fundacion,galeria_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,galeria_calle_numero,galeria_colonia,galeria_cp,galeria_telefono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
340,"Galería de Artes Gráficas El Obraje","2000-09-13","Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Juan de Montoro 222","Centro","20000","449 994 00 74","https://eservicios2.aguascalientes.gob.mx/eventosPortal/evento/718/Actividades%20M%C3%BAltiples","museosygalerias@yahoo.com.mx",-102.29334,21.88126,"http://sic.gob.mx/ficha.php?table=galeria&table_id=340","2022-04-19 06:57:03-05"
346,"Galería Rampa","1983-01-01","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Cristóbal Colón 116","Centro","20000","449 915 54 27","","",-102.29522,21.88014,"http://sic.gob.mx/ficha.php?table=galeria&table_id=346","2021-08-31 05:19:34-05"
1795,"Galería de la Universidad de las Artes","2002-01-01","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. Manuel Gómez Morín s/n, edif. 50","Col. Ferronales","20180","449 910 26 45 ext. 6702, 6703","","vinculacion@universidaddelasartes.edu.mx",-102.28088,21.88925,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1795","2023-07-28 06:04:39-06"
1963,"Galeria David Díaz de León","1000-01-01","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes"," Emiliano Zapata 201"," Barrio de Guadalupe ","20050","449 105 42 03","","",-102.30106,21.8822,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1963","2022-10-21 07:01:05-05"
1483,"Galería Artica","2013-04-22","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión/Centro de Artes Visuales",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 111","Centro","20000","449 915 16 91","","centrodeartesvisuales@yahoo.com.mx",-102.29886,21.88049,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1483","2022-04-19 05:16:02-05"
342,"Galería de la Ciudad","1985-03-03","Casa de la Cultura Víctor Sandoval/Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 101","Centro","20000","449 915 16 91","","informacion.ica@gmail.com",-102.29796,21.88065,"http://sic.gob.mx/ficha.php?table=galeria&table_id=342","2023-07-28 06:03:32-06"
745,"Galería Benjamín Manzo ","2007-03-15","Casa de la Cultura Víctor Sandoval/Instituto Cultural de Aguascalientes ",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza  101","Centro ","20000","449  910 20 10 ","","informacion.ica@gmail.com",-102.29798,21.88065,"http://sic.gob.mx/ficha.php?table=galeria&table_id=745","2023-07-28 05:59:49-06"
1449,"Galería La Señal en el Muro","2004-01-01","CIELA Fraguas ",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Ignacio Allende 238  ","Centro","20000","449  915 88 19","","ciela@universidaddelasartes.edu.mx",-102.29923,21.88134,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1449","2023-07-28 06:25:16-06"
1895,"Galería Madama","2018-11-12","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 403","Centro","20000","449 392 23 09","https://madama.mx/","contacto@madama.mx",-102.29994,21.87919,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1895","2022-03-22 07:31:12-06"
2124,"Galería de la Ex-Escuela de Cristo","2004-09-07","Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","And. Benito Juárez 107","Centro","20000","449 910 2010 ext. 1408","http://www.aguascalientes.gob.mx/temas/cultura/espacios/museos/escpia.aspx","galeriaescuelapia.ica@gmail.com",-102.29552,21.88192,"http://sic.gob.mx/ficha.php?table=galeria&table_id=2124","2024-08-13 12:54:04-06"
337,"Galería Pons","1995-11-12","Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Alameda 206 esq. Héroe de Nacozari","Barrio La Purísima","20259","449 916 92 01","","informacion.ica@gmail.com",-102.28212,21.88282,"http://sic.gob.mx/ficha.php?table=galeria&table_id=337","2023-07-28 06:26:11-06"
341,"Galería del Centro de Artes Visuales","1980-12-01","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 101","Centro","20000","449  916 14 56","","centrodeartesvisuales@yahoo.com.mx",-102.29876,21.88047,"http://sic.gob.mx/ficha.php?table=galeria&table_id=341","2022-04-06 06:10:10-05"
349,"Galería La Huerta","1994-11-12","Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Alameda 206 esq. Héroe de Nacozari","Barrio La Purísima","20000","449 916 92 01",""," informacion.ica@gmail.com",-102.28218,21.88288,"http://sic.gob.mx/ficha.php?table=galeria&table_id=349","2023-07-28 06:20:51-06"
356,"Galería Francisco Díaz de León","1992-12-01","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Rivero y Gutiérrez 110","Centro","20000","449 916 98 09","","casajesusteran@gmail.com",-102.29677,21.88339,"http://sic.gob.mx/ficha.php?table=galeria&table_id=356","2024-10-02 07:24:58-06"
1282,"Galería Afrodita 112","2016-11-05","Particular",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Afrodita 112","Col. Las Hadas","20140","449 153 09 51","","galeriaafrodita112@gmail.com",-102.29162,21.90638,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1282","2022-04-19 04:41:02-05"
338,"Galería Universitaria","1973-06-19","Universidad Autónoma de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. Universidad 940, edif. 1-B, piso 1","Cd. Universitaria","20131","449 910 74 00 ext. 234","","jhgarcia@correo.uaa.mx",-102.31376,21.91365,"http://sic.gob.mx/ficha.php?table=galeria&table_id=338","2023-07-28 06:30:34-06"
1790,"Galería Urbana","1000-01-01","Universidad Autónoma de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. Universidad esq. Guadalupe González","Cd. Universitaria","20131","449  910 74 00","https://www.uaa.mx/portal/evento/galeria-urbana-la-fiesta-de-los-que-nunca-mueren/","",-102.31137,21.90955,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1790","2022-04-06 06:11:19-05"
339,"Galería de Arte Fernando González Medina","2020-07-26","Universidad Tecnológica del Norte de Aguascalientes ",1,"Aguascalientes",7,"Rincón de Romos",35,"Rincón de Romos [Estación]"," Av. Universidad 1001","La Estación","20400","465 965 00 30","","comunicacionutna@gmail.com",-102.28052,22.22246,"http://sic.gob.mx/ficha.php?table=galeria&table_id=339","2023-06-13 03:41:10-06"
1543,"Galería La Oficina","2019-11-22","",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Guadalupe Victoria 242"," Col.  Independencia","22710","646  210 92 11","","galerialaoficina@gmail.com",-116.598,31.86331,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1543","2022-12-02 04:34:55-06"
2009,"Nardo Galería","1000-01-01","",2,"Baja California",1,"Ensenada",1,"Ensenada"," Av. Pedro Loyola 145 A","","22280","662 359 36 63","","arte@nardogaleria.com",-116.6098,31.854,"http://sic.gob.mx/ficha.php?table=galeria&table_id=2009","2022-12-02 04:54:34-06"
1844,"Sala de Exposiciones del Centro INAH-Ensenada","1992-01-01","Secretaría de Cultura/INAH",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Ryerson 99","Centro","22800","646 178 25 31","","cominabc@yahoo.com",-116.63014,31.86413,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1844","2023-12-05 05:18:13-06"
1065,"Galería Ernesto Muñoz Acosta","2007-07-31","Centro Estatal de las Artes/Instituto de Cultura de Baja California",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Lázaro Cárdenas s/n","Bahía Ensenada","22280","646 173 43 07/08 ext. 101","https://www.cenart.gob.mx/2015/07/ensenada/","red.cearte@cenart.gob.mx",-116.61808,31.85673,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1065","2023-07-28 06:45:33-06"
1064,"La Covacha/Foro Galería","2012-10-25","",2,"Baja California",1,"Ensenada",1,"Ensenada","Ruiz y Tercera núm.  350, Pasaje Romero int. 5A","Centro","22800","646 156 53 14","","lacovachagaleria@gmail.com",-116.62778,31.86644,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1064","2023-07-28 08:04:25-06"
1025,"Galería Petanca","2010-12-02","Centro de Residencias e Investigación Artística ",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Gastelum 228","Centro","22800","","","hecherrod@yahoo.com",-116.62606,31.86587,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1025","2022-03-23 04:20:59-06"
704,"Galería L86 ","2020-10-01","",2,"Baja California",1,"Ensenada",271,"Villa de Juárez (San Antonio de las Minas)","Calle C s/n","Villa de Juárez","22755","646 151 18 91","","galerial86bc@gmail.com",-116.65555,31.968,"http://sic.gob.mx/ficha.php?table=galeria&table_id=704","2021-12-16 06:05:16-06"
230,"Sala de Arte Rubén García Benavides","2011-12-01","Universidad Autónoma de Baja California/Facultad de Artes",2,"Baja California",2,"Mexicali",1,"Mexicali","Blvd. Benito Juárez 2500","Centro","21280","686 551 97 13 y 14","","",-115.44309,32.63297,"http://sic.gob.mx/ficha.php?table=galeria&table_id=230","2022-03-23 03:43:37-06"
352,"Galería Rufino Tamayo","1974-03-15","Ayuntamiento de Mexicali/Instituto Municipal de Arte y Cultura de Mexicali (IMACUM)/Casa de la Cultura de Mexicali",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. Francisco I. Madero s/n","Centro","21100","686 552 96 30, 686 552 91 69","","casadelaculturamexicali@hotmail.com; jlfigueroa@mexicali.gob.mx; imacum@mexicali.gob.mx",-115.49075,32.66487,"http://sic.gob.mx/ficha.php?table=galeria&table_id=352","2024-03-13 06:35:54-06"
343,"Galería de la Ciudad","1978-06-20","Secretaría de Cultura/Instituto de Cultura de Baja California",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. Álvaro Obregón 1209","Col. Nueva","21100","686 553 50 44  ext. 144","","artesplasticasbc@gmail.com",-115.47245,32.66327,"http://sic.gob.mx/ficha.php?table=galeria&table_id=343","2022-03-23 04:59:16-06"
531,"Galería Planta Libre","2021-01-14","",2,"Baja California",2,"Mexicali",1,"Mexicali","Zuazua 447 P.A.","Centro","21100"," 686 553 68 40","","plantalibre.mxl@gmail.com",-115.49012,32.65908,"http://sic.gob.mx/ficha.php?table=galeria&table_id=531","2023-07-28 06:54:05-06"
229,"Galería José García Arroyo","2016-04-06","Cooperativa de Artistas Plásticos, A.C.",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. Madero 1504","Centro","21100","686 247 64 44","","",-115.49107,32.6648,"http://sic.gob.mx/ficha.php?table=galeria&table_id=229","2022-03-23 04:26:32-06"
1452,"Sala de Exposiciones del Centro Cultural Tecate","1998-10-04","Ayuntamiento de Tecate",2,"Baja California",3,"Tecate",1,"Tecate","Calle Tláloc 400","Col. Cuauhtémoc","21470","665 654 49 47","","",-116.6195,32.57034,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1452","2022-03-23 03:37:03-06"
347,"Galería Espacio Norte 2","2003-07-01","Universidad Autónoma de Baja California/Centro de Extensión Universitaria",2,"Baja California",3,"Tecate",1,"Tecate","Av. Universidad 1","Fracc. San Fernando","21460","665 654 24 04","https://cultura.uabc.mx/galerias/","cultura@uabc.edu.mx",-116.62704,32.56868,"http://sic.gob.mx/ficha.php?table=galeria&table_id=347","2022-03-23 04:30:29-06"
