teatro_id,teatro_nombre,teatro_fecha_fundacion,teatro_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,teatro_calle_numero,teatro_colonia,teatro_cp,teatro_telefono1,pagina_web,facebook,twitter,instagram,email,gmaps_longitud,gmaps_latitud,teatro_aforo,teatro_tipo_escenario,link_sic,fecha_mod
336,"Teatro de la Alameda ","1945-10-01","Gobierno del Estado de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. de la Convención Ote. 102 esq. Alameda","Col. Del Trabajo","20180","449 910 25 25 ext. 5296","","","","","alejandrina.rodriguez@aguascalientes.gob.mx",-102.27296,21.88444,396,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=336","2020-10-09 14:17:49-05"
334,"Teatro Antonio Leal y Romero","1986-01-01","Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 101","Centro","20000","449 916 61 28","https://www.aguascalientes.gob.mx/Temas/Cultura/","https://www.facebook.com/InstitutoCulturaldeAguascalientes","CulturaAgs","https://www.instagram.com/ica_cultura/","josereynosomtz@hotmail.com",-102.29846,21.88049,247,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=334","2024-10-04 12:50:19-06"
78,"Teatro Francisco Gabilondo Soler Cri-Cri","1989-05-24","Gobierno del Estado de Aguascalientes/Secretaría de Sustentabilidad, Medio Ambiente y Agua",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Int. Centro de Recreación Ambiental, Cultura y Recreativo Rodolfo Landeros Gallegos, Blvd. José María Chávez s/n","Col. Ciudad Industrial","20290","(449) 978 51 06","","","","","jorge.villa@aguascalientes.gob.mx; brenda.rodriguezm@aguascalientes.gob.mx",-102.28886,21.85357,248,"circular","http://sic.gob.mx/ficha.php?table=teatro&table_id=78","2020-02-11 05:33:58-06"
329,"Teatro Morelos","1885-10-25","Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 113, Plaza de la Convención","Centro","20000","449 916 61 28","https://www.travelbymexico.com/aguascalientes/atractivos/?nom=eagsteatromore","","","","informacion.ica@gmail.com",-102.29702,21.88021,351,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=329","2025-04-03 14:11:26-06"
976,"Foro Cultural MUSE","1000-01-01","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Ezequiel A. Chávez 307","","20000","449 115 60 16","https://museoeer.wixsite.com/muse/contacto","https://es-la.facebook.com/pg/FOROMUSE/about/?ref=page_internal","","","foromuseoescarcega@gmail.com; ricardo.gestioncultural@gmail.com",-102.28568,21.88466,0,"","http://sic.gob.mx/ficha.php?table=teatro&table_id=976","2020-09-24 16:58:36-05"
830,"Foro Cultural al Trote","1994-01-01","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Héroes de Chapultepec 217","Barrio del Encino","20000","449 179 03 10","","https://www.facebook.com/Foro-Cultural-Al-Trote-372201562868199/about/","","https://www.instagram.com/explore/locations/1029219460/foro-cultural-al-trote/","contacto@altrote.com.mx",-102.29385,21.87843,0,"","http://sic.gob.mx/ficha.php?table=teatro&table_id=830","2023-12-06 06:56:17-06"
330,"Teatro Víctor Sandoval (antes Teatro del Parque)","1988-10-01","Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. Adolfo López Mateos s/n esq. Paseo de la Feria","Centro","20000","","http://www.aguascalientes.gob.mx/temas/cultura/espacios/teatros/victor.aspx","","","","josereynosomtz@hotmail.com",-102.30326,21.8768,454,"isabelino","http://sic.gob.mx/ficha.php?table=teatro&table_id=330","2021-10-28 07:28:30-05"
328,"Teatro Aguascalientes","1991-10-03","Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. De la Concepción esq. Sur y Blvd. José Ma. Chavez 1202","Col. Lindavista","20270","449 978 54 14","","https://www.facebook.com/InstitutoCulturaldeAguascalientes/","","","informacion.ica@gmail",-102.29235,21.85739,1589,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=328","2025-05-22 14:34:04-06"
335,"Foro La Puga","1994-11-01","Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Alameda 206 esq. Héroe de Nacozari","Barrio de La Purísima","20000","449 916 92 01","","","","","c.culturallosarquitos@gmail.com",-102.28177,21.88286,250,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=335","2020-10-01 15:52:43-05"
541,"Teatro de la Casa de Cultura de Asientos","1998-02-25","Instituto Cultural de Aguascalientes",1,"Aguascalientes",2,"Asientos",1,"Asientos","Av. Miguel Hidalgo s/n","Col. Infonavit","20712","496 967 30 78","","","","","informacion.ica@aguascalientes.gob.mx",-102.08958,22.23848,150,"semicircular","http://sic.gob.mx/ficha.php?table=teatro&table_id=541","2022-02-16 16:34:56-06"
