zona_arqueologica_id,zona_arqueologica_nombre,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,zona_arqueologica_calle_numero,zona_arqueologica_colonia,zona_arqueologica_cp,zona_arqueologica_telefono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
1,"El Vallecito",2,"Baja California",3,"Tecate",0,"Total del Municipio","Camino a Vallecitos Km. 1 + 200","","","686 552 35 91","https://www.inah.gob.mx/zonas/zona-arqueologica-el-vallecito","direccion.bc@inah.gob.mx",-116.09758,32.53908,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=1","2025-04-28 11:53:34-06"
159,"Sierra de San Francisco",3,"Baja California Sur",2,"Mulegé",0,"Total del Municipio","Camino a San Francisco de la Sierra Km 36","","","612 122 73 89","https://www.inah.gob.mx/zonas/zona-arqueologica-de-la-sierra-de-san-francisco","sierrasanfrancisco@hotmail.com",-113.01637,27.60137,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=159","2025-04-28 12:06:59-06"
9,"Edzná",4,"Campeche",2,"Campeche",0,"Total del Municipio","Carr. Federal Campeche-Edzná, km 55 (localizado en el entronque con el Km 45 de la Carr. Núm. 188)","","","981 816 91 11, 981 816 81 79 ext. 138017","https://www.inah.gob.mx/zonas/zona-arqueologica-edzna","candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx",-90.23051,19.5974,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=9","2025-04-28 17:40:02-06"
13,"Xcalumkín",4,"Campeche",5,"Hecelchakán",0,"Total del Municipio","Ramal de camino a Xcalumkin Km 1 + 000","","","981 816 91 11, 981 816 81 79 ext. 138017","https://www.inah.gob.mx/zonas/zona-arqueologica-de-xcalumkin","candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx",-90.01031,20.17037,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=13","2025-04-28 17:33:49-06"
147,"Toh Cok",4,"Campeche",6,"Hopelchén",0,"Total del Municipio","Carr. Federal 261","","","981 816 81 79","https://www.inah.gob.mx/zonas/zona-arqueologica-de-tohcok","zarqueologicas.camp@inah.gob.mx",-89.87514,19.77019,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=147","2025-04-28 14:13:29-06"
148,"Tabasqueño",4,"Campeche",6,"Hopelchén",0,"Total del Municipio","Camino a la Zona Arqueológica El Tabasqueño km. 2","","","981 816 91 11, 981 816 81 79 ext. 138017","https://www.inah.gob.mx/zonas/zona-arqueologica-de-tabasqueno","candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx",-89.78386,19.50051,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=148","2025-04-28 17:58:54-06"
7,"Chunhuhub",4,"Campeche",6,"Hopelchén",0,"Total del Municipio","Entronque hacia Xculoc de la Carr. Federal Mérida-Chenes núm. 261.","","","981 816 9111, 981 816 8179 exts.138016, 138017.","https://www.inah.gob.mx/zonas/zona-arqueologica-de-chunhuhub","abenavidez.camp@inah.gob.mx",-89.7963,20.15765,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=7","2025-04-29 12:27:08-06"
10,"Santa Rosa Xtampak",4,"Campeche",6,"Hopelchén",0,"Total del Municipio","Camino a Santa Rosa Xtampak km. 32","","","981 816 81 79","https://www.inah.gob.mx/zonas/zona-arqueologica-de-santa-rosa-xtampak","direccion.camp@inah.gob.mx",-89.59744,19.77249,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=10","2025-04-28 17:54:28-06"
11,"Hochob",4,"Campeche",6,"Hopelchén",0,"Total del Municipio","Camino a Hochob Km 3 + 600 ","","","981 816 91 11","https://www.inah.gob.mx/zonas/zona-arqueologica-hochob","direccion.camp@inah.gob.mx",-89.77053,19.40883,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=11","2025-04-28 13:56:27-06"
8,"Dzibilnocac",4,"Campeche",6,"Hopelchén",0,"Total del Municipio","Calle 9 (Benito Juárez) s/n","","","981 816 81 79","https://www.inah.gob.mx/zonas/zona-arqueologica-dzibilnocac","direccion.camp@inah.gob.mx",-89.59496,19.57815,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=8","2025-04-29 12:34:47-06"
146,"Kankí",4,"Campeche",8,"Tenabo",0,"Total del Municipio","Entronque Tenabo-Kankí, km 38 de la Carr. Campeche-Mérida 180","","","981 816 81 79","https://www.inah.gob.mx/zonas/zona-arqueologica-de-kanki","direccion.camp@inah.gob.mx",-90.11824,19.98814,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=146","2025-04-28 18:03:13-06"
3,"Balamkú",4,"Campeche",10,"Calakmul",0,"Total del Municipio","Entronque con el km 93 de la Carr. Federal Escárcega-Chetumal 186","","","981 816 91 11","https://www.inah.gob.mx/zonas/zona-arqueologica-de-balamku","direccion.camp@inah.gob.mx",-89.94525,18.55963,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=3","2025-04-28 18:05:33-06"
5,"Calakmul",4,"Campeche",10,"Calakmul",0,"Total del Municipio","Camino a la reserva de la biósfera de Calakmul km 60","","","981 816 81 79","https://www.inah.gob.mx/zonas/zona-arqueologica-de-calakmul","direccion.camp@inah.gob.mx",-89.81106,18.1051,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=5","2025-04-28 18:28:15-06"
14,"Xpuhil",4,"Campeche",10,"Calakmul",0,"Total del Municipio","Carr. Federal 186 Escárcega -Chetumal  km 156","Col. Aviación","24640","981 816 81 79","https://www.inah.gob.mx/zonas/71-zona-arqueologica-xpuhil","zarqueologicas.camp@inah.gob.mx",-89.4039,18.51024,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=14","2025-04-29 12:20:01-06"
6,"Chicanná",4,"Campeche",10,"Calakmul",0,"Total del Municipio","Entronque con el km 140 de la Carr. Federal 186","","","981 816 81 79","https://www.inah.gob.mx/zonas/zona-arqueologica-chicanna","direccion.camp@inah.gob.mx",-89.48623,18.50698,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=6","2025-04-28 18:07:22-06"
145,"Nadzca'an",4,"Campeche",10,"Calakmul",0,"Total del Municipio","Carr. Escárcega-Chetumal, km 95","","","981 816 91 36","http://www.inah.gob.mx/es/zonas/189-zona-arqueologica-nadzca-an","direccion.camp@inah.gob.mx",-89.85013,18.6066,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=145","2025-04-28 18:45:21-06"
12,"Hormiguero ",4,"Campeche",10,"Calakmul",0,"Total del Municipio","Eugenio Echeverría Castellot  2 ","","","981 816 81 79","https://www.inah.gob.mx/zonas/zona-arqueologica-hormiguero","direccion.camp@inah.gob.mx",-89.49282,18.40992,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=12","2025-04-28 18:26:56-06"
4,"Becán",4,"Campeche",10,"Calakmul",0,"Total del Municipio","Camino a Becán km 0 + 450","","","981 816 91 11","https://www.inah.gob.mx/zonas/zona-arqueologica-de-becan","direccion.camp@inah.gob.mx",-89.46697,18.51721,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=4","2025-04-29 12:23:59-06"
144,"El Tigre (itzamkanac)",4,"Campeche",11,"Candelaria",0,"Total del Municipio","Carr. Federal 261, km 76","","","981 816 91 36 ext. 138016","https://www.inah.gob.mx/zonas/zona-arqueologica-el-tigre","direccion.camp@inah.gob.mx",-90.83695,18.12157,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=144","2025-04-29 12:30:29-06"
220,"Zona paleontológica Rincón Colorado",5,"Coahuila de Zaragoza",11,"General Cepeda",0,"Total del Municipio","Carr. Saltillo-Torreón, km 43.5","","25970","844 410 19 18","https://inah.gob.mx/zonas/zona-paleontologica-rincon-colorado","zp.rincon.colorado@gmail.com",-101.34741,25.50676,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=220","2025-04-29 17:35:50-06"
25,"El Chanal",6,"Colima",2,"Colima",0,"Total del Municipio","Calle Bonampak Acceso desde la Av. Tercer Anillo Periférico y su entronque con la Av. Venustiano Carranza","","","312 313 49 45","https://www.inah.gob.mx/zonas/zona-arqueologica-el-chanal","direccion.col@inah.gob.mx",-103.70543,19.29295,"http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=25","2025-04-29 17:38:38-06"
