otra_bib_id,otra_bib_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
4957,Biblioteca del Centro de Maestros de Chiautla de Tapia                           ,28,Chiautla,-98.88279,19.54944
8958,Biblioteca Cristina Payán,33,Ecatepec de Morelos,-99.03569,19.6003
7247,"Biblioteca del Centro de Enseñanza, Inv. y Ext. en Producción Porcina                                                    ",45,Jilotepec,-99.5104,19.95739
1920,Biblioteca campus Lomas Verdes                                          ,57,Naucalpan de Juárez,-99.26304,19.5071
8738,"Biblioteca de la Escuela Superior de Ingeniería y Arquitectura (ESIA), Unidad Tecamachalco",57,Naucalpan de Juárez,-99.22955,19.43019
3746,Centro de Información y Documentación de la FES Acatlán                                             ,57,Naucalpan de Juárez,-99.24619,19.48367
7367,Biblioteca de la Universidad Tecnológica de Nezahualcoyotl                                  ,58,Nezahualcóyotl,-98.98802,19.40425
7453,Biblioteca Jesús Reyes Heroles de la FES Aragón,58,Nezahualcóyotl,-99.04538,19.47532
8945,Centro de Información y Documentación de Nezahualcóyotl ,58,Nezahualcóyotl,-99.01064,19.40419
7418,Biblioteca de la Universidad Intercultural del Estado de México,74,San Felipe del Progreso,-99.94008,19.7146
8824,Biblioteca de la Universidad Politécnica de Tecámac,81,Tecámac,-98.97753,19.71413
8520,Biblioteca del Centro de Estudios Teotihuacanos,92,Teotihuacán,-98.83389,19.69106
8519,Biblioteca Pablo Ignacio Martínez del Río,95,Tepotzotlán,-99.22138,19.71296
8829,Biblioteca de la Universidad Politécnica de Texcoco,99,Texcoco,-98.89945,19.45067
3813,Unidad de Documentación Científica de la FES Iztacala,104,Tlalnepantla de Baz,-99.18951,19.52445
8773,Biblioteca del Museo Leopoldo Flores,106,Toluca,-99.67828,19.2865
8422,Biblioteca de la Casa de la Cultura Jurídica José María Lozano,106,Toluca,-99.63951,19.28979
8966,"Biblioteca Felipe Montemayor García,  Centro INAH Estado de México",106,Toluca,-99.66009,19.29048
8666,Biblioteca Lic. César Camacho Quiroz,106,Toluca,-99.67838,19.28136
8830,Centro de Información y Documentación de la UPVM,109,Tultitlán,-99.127,19.64339
7384,Biblioteca del Centro de Información Juan Francisco Ealy Ortiz                                        ,110,Valle de Bravo,-100.1319,19.23915
3950,       Biblioteca del Museo Virreinal                          ,118,Zinacantepec,-99.73547,19.28343
1475,"Biblioteca  UVM, Campus Lago de Guadalupe                                                  ",121,Cuautitlán Izcalli,-99.24095,19.63397
7269, Biblioteca Campo 4                      ,121,Cuautitlán Izcalli,-99.19102,19.69023
7017,Biblioteca de la FES Cuautitlán Campo 1                               ,121,Cuautitlán Izcalli,-99.20804,19.63667
8406,Biblioteca del Tecnológico Universitario del Valle de Chalco,122,Valle de Chalco Solidaridad,-98.94594,19.27932
