museo_id,museo_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
352,Museo Regional de Acambay Antonio Ruiz Pérez,1,Acambay de Ruíz Castañeda,-99.84583,19.95528
480,Museo Virreinal de Acolman,2,Acolman,-98.91309,19.63218
1002,Museo Prehistórico de Tepexpan,2,Acolman,-98.9474,19.61377
1358,Museo de Sor Juana Inés de la Cruz ,9,Amecameca,-98.77167,19.14163
2114,Museo Internacional de los Volcanes,9,Amecameca,-98.7726,19.14051
2333,Museo de Historia Natural de Casa del Pueblo Amecameca,9,Amecameca,-98.77551,19.13211
343,Museo Arqueológico Apaxco,10,Apaxco,-99.17455,19.97585
201,Museo Adolfo López Mateos ,13,Atizapán de Zaragoza,-99.24807,19.56311
288,Museo Isidro Fabela,14,Atlacomulco,-99.87367,19.79841
1707,Museo Histórico de Atlacomulco,14,Atlacomulco,-99.8805,19.79843
2370,Museo Paleontológico Comunitario de la Magdalena Huizachitla,20,Coacalco de Berriozábal,-99.08886,19.63482
467,"Santuario de la Siempre Virgen María de Guadalupe, Casa de San Juan Diego",24,Cuautitlán,-99.19189,19.66826
2018,Casa Museo de Cartonería,25,Chalco,-98.93202,19.21113
357,Museo del Centro Regional de Cultura de Chalco Chimalpahin ,25,Chalco,-98.89952,19.26293
2390,Museo Comunitario del Pueblo de Tezompa,25,Chalco,-98.96121,19.20671
2024,Planetario Digital de Chimalhuacán,31,Chimalhuacán,-98.96232,19.40758
533,Museo de Sitio de Chimalhuacán,31,Chimalhuacán,-98.94726,19.41786
2363,Museo Municipal Canto del Cincel,31,Chimalhuacán,-98.98388,19.41924
2361,Museo Chimaltonalli,31,Chimalhuacán,-98.94407,19.41945
2419,"Planetario El Gran Ehécatl, Los Hijos del Dios del Viento",33,Ecatepec de Morelos,-99.0541,19.59557
712,Museo de la Pluma. Ing. Jesús Humberto Rodríguez Lozano,33,Ecatepec de Morelos,-99.04056,19.51069
996,"Centro Comunitario Ecatepec, Casa de Morelos",33,Ecatepec de Morelos,-99.03565,19.60036
2420,Museo de Sitio de Vestigios Arqueológicos del Parque Ecológico Ehécatl,33,Ecatepec de Morelos,-99.0541,19.59557
2356,Museo Jurasica,33,Ecatepec de Morelos,-99.05542,19.59379
1521,Museo de Historia Natural de Ecatepec ,33,Ecatepec de Morelos,-99.03683,19.54688
2425,Parque Museo del Ferrocarril de Huehuetoca,35,Huehuetoca,-99.2027,19.83545
1692,Museo de Huixquilucan,37,Huixquilucan,-99.34124,19.35803
2449,Museo Tlotzin Pochotl,39,Ixtapaluca,-98.8844,19.31492
2448,Museo de Sitio de Coatepec,39,Ixtapaluca,-98.84732,19.38531
366,Museo Comunitario Xochiltepetl,50,Juchitepec,-98.88117,19.09858
1949,"Zanbatha, Museo del Valle de la Luna",51,Lerma,-99.51022,19.28657
277,Museo Universitario Dr. Luis Mario Schneider,52,Malinalco,-99.50115,18.95084
2102,Sala Introductoria a la Zona Arqueológica de Malinalco,52,Malinalco,-99.5034,18.95347
1658,Museo del Barro,54,Metepec,-99.60202,19.25019
1914,Museo del Agua,57,Naucalpan de Juárez,-99.23986,19.45956
1938,Museo Salón Deporte,57,Naucalpan de Juárez,-99.215,19.45754
783,Museo Tlatilca,57,Naucalpan de Juárez,-99.23203,19.47914
273,Museo Nezahualcóyotl Acomiztli,58,Nezahualcóyotl,-99.03341,19.421
355,Museo Arqueológico de Nextlalpan (en proceso de remodelación),59,Nextlalpan,-99.05104,19.72379
2453,Museo Textil Industrial de San Ildefonso,60,Nicolás Romero,-99.2956,19.61981
284,Museo Dr. José María Luis Mora,62,Ocoyoacac,-99.4609,19.27427
290,Museo Arqueológico Colonial de Ocuilan,63,Ocuilan,-99.41604,18.97935
285,Museo de la Minería de El Oro,64,El Oro,-100.13284,19.79848
1420,Museo del Ferrocarril en Otumba,65,Otumba,-98.75696,19.70877
2248,Ex Convento de Oxtotipac,65,Otumba,-98.7927,19.6558
257,Casa Museo Gonzalo Carrasco,65,Otumba,-98.75742,19.69981
2429,Museo Municipal Techialoyan Tepemaxalco,73,San Antonio la Isla,-99.56917,19.1641
885,Museo de Murales Teotihuacanos Beatriz de la Fuente,75,San Martín de las Pirámides,-98.8471,19.70039
1368,Sala museográfica de la Casa de Cultura  Dr. José María Cos,80,Sultepec,-99.96689,18.85786
291,Museo de Sitio de San Miguel Ixtapan,82,Tejupilco,-100.15498,18.807
97,Museo Casa de Madera,89,Tenango del Aire,-98.85558,19.15722
354,Museo Arqueológico Dr. Román Piña Chan,90,Tenango del Valle,-99.59598,19.11048
997,Museo Comunitario Quetzalpapalotl,92,Teotihuacán,-98.86924,19.68346
836,Museo de la Cultura Teotihuacana (museo de sitio),92,Teotihuacán,-98.84957,19.68292
1708,Museo Eremitorio de Fray Domingo de Betanzos,93,Tepetlaoxtoc,-98.82467,19.57314
999,Museo-Casa Juana Inés,94,Tepetlixpa,-98.83972,18.98005
823,Museo Nacional del Virreinato,95,Tepotzotlán,-99.22151,19.71338
1524,Museo del Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89648,19.45188
2463,Museo de sitio del Parque Ecológico Lago de Texcoco,99,Texcoco,-98.97872,19.48504
2455,Museo del Deporte del Estado de México,99,Texcoco,-98.89817,19.45256
1581,Museo de Biología,99,Texcoco,-98.88874,19.48945
2189,Museo Regional del Pulque y el Maguey Texcoco,99,Texcoco,-98.88293,19.50666
1579,Museo de Geología Dr. José Guadalupe Aguilera Serrano,99,Texcoco,-98.88653,19.49438
1001,Museo Nacional de Agricultura,99,Texcoco,-98.88896,19.4921
