zona_arqueologica_id,zona_arqueologica_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
149,Huamango,1,Acambay de Ruíz Castañeda,-99.86596,19.97916
33,Chimalhuacán,31,Chimalhuacán,-98.94708,19.41816
31,Acozac Ixtapaluca,39,Ixtapaluca,-98.88417,19.3131
41,Tlapacoya,39,Ixtapaluca,-98.91287,19.30182
37,Malinalco,52,Malinalco,-99.50294,18.95321
34,El Conde,57,Naucalpan de Juárez,-99.23102,19.47055
181,Ocoyoacac,62,Ocoyoacac,-99.47189,19.28254
43,Los Reyes La Paz,70,La Paz,-98.98357,19.3525
150,San Miguel Ixtapan,82,Tejupilco,-100.15489,18.80661
153,Teotenango,90,Tenango del Valle,-99.59764,19.10845
39,Teotihuacán,92,Teotihuacán,-98.84599,19.69314
40,Tetzcotzinco,99,Texcoco,-98.81791,19.49701
152,Tocuila (cerrado temporalmente),99,Texcoco,-98.90794,19.52047
35,Huexotla,99,Texcoco,-98.87187,19.47723
36,Los Melones,99,Texcoco,-98.88135,19.50878
151,Tenayuca II,104,Tlalnepantla de Baz,-99.16933,19.53504
38,Tenayuca,104,Tlalnepantla de Baz,-99.16848,19.53213
42,Santa Cecilia Acatitlán,104,Tlalnepantla de Baz,-99.17345,19.55266
32,Calixtlahuaca,106,Toluca,-99.69299,19.33374
