id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo,Hora_Apertura,Hora_Cierre,Tiempo_Prom_Estancia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
1,Biblioteca del Centro de Maestros de Chiautla de Tapia,28,Chiautla,-98.88279,19.54944,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
2,Biblioteca Cristina Payán,33,Ecatepec de Morelos,-99.03569,19.6003,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
3,"Biblioteca del Centro de Enseñanza, Inv. y Ext. en Producción Porcina",45,Jilotepec,-99.5104,19.95739,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
4,Biblioteca campus Lomas Verdes,57,Naucalpan de Juárez,-99.26304,19.5071,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
5,"Biblioteca de la Escuela Superior de Ingeniería y Arquitectura (ESIA), Unidad Tecamachalco",57,Naucalpan de Juárez,-99.22955,19.43019,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
6,Centro de Información y Documentación de la FES Acatlán,57,Naucalpan de Juárez,-99.24619,19.48367,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
7,Biblioteca de la Universidad Tecnológica de Nezahualcoyotl,58,Nezahualcóyotl,-98.98802,19.40425,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
8,Biblioteca Jesús Reyes Heroles de la FES Aragón,58,Nezahualcóyotl,-99.04538,19.47532,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
9,Centro de Información y Documentación de Nezahualcóyotl,58,Nezahualcóyotl,-99.01064,19.40419,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
10,Biblioteca de la Universidad Intercultural del Estado de México,74,San Felipe del Progreso,-99.94008,19.7146,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
11,Biblioteca de la Universidad Politécnica de Tecámac,81,Tecámac,-98.97753,19.71413,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
12,Biblioteca del Centro de Estudios Teotihuacanos,92,Teotihuacán,-98.83389,19.69106,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
13,Biblioteca Pablo Ignacio Martínez del Río,95,Tepotzotlán,-99.22138,19.71296,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
14,Biblioteca de la Universidad Politécnica de Texcoco,99,Texcoco,-98.89945,19.45067,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
15,Unidad de Documentación Científica de la FES Iztacala,104,Tlalnepantla de Baz,-99.18951,19.52445,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
16,Biblioteca del Museo Leopoldo Flores,106,Toluca,-99.67828,19.2865,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
17,Biblioteca de la Casa de la Cultura Jurídica José María Lozano,106,Toluca,-99.63951,19.28979,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
18,"Biblioteca Felipe Montemayor García, Centro INAH Estado de México",106,Toluca,-99.66009,19.29048,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
19,Biblioteca Lic. César Camacho Quiroz,106,Toluca,-99.67838,19.28136,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
20,Centro de Información y Documentación de la UPVM,109,Tultitlán,-99.127,19.64339,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
21,Biblioteca del Centro de Información Juan Francisco Ealy Ortiz,110,Valle de Bravo,-100.1319,19.23915,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
22,Biblioteca del Museo Virreinal,118,Zinacantepec,-99.73547,19.28343,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
23,"Biblioteca UVM, Campus Lago de Guadalupe",121,Cuautitlán Izcalli,-99.24095,19.63397,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
24,Biblioteca Campo 4,121,Cuautitlán Izcalli,-99.19102,19.69023,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
25,Biblioteca de la FES Cuautitlán Campo 1,121,Cuautitlán Izcalli,-99.20804,19.63667,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
26,Biblioteca del Tecnológico Universitario del Valle de Chalco,122,Valle de Chalco Solidaridad,-98.94594,19.27932,Biblioteca,9.0,18.0,1.5,1,1,1,1,1,1,0
27,"Tienda de Artesanías CASART, San Martín de las Pirámides",0,Total de la entidad México,-98.83376,19.70504,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
29,Artesanías Nezahualcóyotl,58,Nezahualcóyotl,-99.00126,19.411,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
30,"Tienda de Artesanías CASART, Otumba",65,Otumba,-98.7575,19.69985,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
31,"Tienda de Artesanías CASART, Tenancingo",88,Tenancingo,-99.5851,18.96391,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
32,"Tienda de Artesanías CASART Texcoco, Casa del Constituyente",99,Texcoco,-98.88052,19.51375,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
33,"Tienda de Artesanías CASART, Texcoco (Centro Cultural Mexiquense Bicentenario)",99,Texcoco,-98.89807,19.45341,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
34,"Tienda de Artesanías CASART, Parque de la Ciencia Fundadores",106,Toluca,-99.65517,19.29397,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
35,Tienda de Artesanías CASART Aeropuerto Internacional de Toluca,106,Toluca,-99.57096,19.33856,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
36,"Tienda de Artesanías CASART, Chalco",106,Toluca,-98.8996,19.26339,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
37,"Tienda de Artesanías CASART, Toluca",106,Toluca,-99.63782,19.28541,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
38,"Tienda de Artesanías CASART, Museo Torres Bicentenario",106,Toluca,-99.62911,19.28778,Casa de artesania,10.0,20.0,1.0,0,1,1,1,1,1,1
40,San Francisco de Asis,14,Atlacomulco,-99.8705,19.8012,Catedral,8.0,20.0,1.0,1,1,1,1,1,1,1
41,San Buenaventura,24,Cuautitlán,-99.17939,19.66907,Catedral,8.0,20.0,1.0,1,1,1,1,1,1,1
