Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip,Condition
6.0,4.0,87.0,0.0,0.0,750.09,0.0,Smoke
5.0,3.0,87.0,0.0,0.0,750.09,0.0,Smoke
4.0,3.0,93.0,0.0,0.0,749.75,0.0,Smoke
4.0,3.0,93.0,0.0,0.0,749.41,0.0,Smoke
3.0,3.0,100.0,0.0,0.0,749.41,0.0,Smoke
2.0,2.0,100.0,0.0,0.0,749.41,0.0,Smoke
0.0,0.0,100.0,0.0,0.0,749.41,0.0,Fog
0.0,-1.0,93.0,0.0,0.0,749.41,0.0,Fog
0.0,0.0,100.0,0.0,0.0,749.75,0.0,Fog
-2.0,-2.0,100.0,0.0,0.0,750.09,0.0,Fog
-2.0,-2.0,100.0,0.0,0.0,750.09,0.0,Fog
-3.0,-3.0,100.0,0.0,0.0,750.42,0.0,Fog
-1.0,-1.0,100.0,3.22,0.0,751.1,0.0,Fog
2.0,2.0,100.0,0.0,0.0,751.1,0.0,Fog
14.0,3.0,48.0,4.83,0.0,751.44,0.0,Smoke
18.0,-5.0,21.0,19.31,0.0,750.76,0.0,Smoke
19.0,-5.0,19.0,19.31,0.0,750.42,0.0,Fair
20.0,-3.0,21.0,25.75,0.0,750.09,0.0,Fair
21.0,-6.0,16.0,19.31,0.0,749.07,0.0,Fair
22.0,-7.0,14.0,24.14,0.0,748.39,0.0,Fair
22.0,-9.0,12.0,12.87,0.0,747.71,0.0,Fair
21.0,-10.0,12.0,11.27,0.0,747.71,0.0,Fair
20.0,-7.0,16.0,19.31,0.0,748.39,0.0,Fair
15.0,-4.0,27.0,11.27,0.0,749.07,0.0,Fair
14.0,3.0,48.0,9.66,0.0,749.41,0.0,Fair
11.0,4.0,62.0,8.05,0.0,750.42,0.0,Fair
8.0,0.0,57.0,0.0,0.0,750.42,0.0,Fair
7.0,0.0,61.0,8.05,0.0,750.76,0.0,Fair
6.0,-1.0,61.0,4.83,0.0,750.42,0.0,Fair
5.0,-1.0,65.0,4.83,0.0,750.42,0.0,Fair
3.0,-2.0,70.0,0.0,0.0,750.42,0.0,Fair
2.0,-2.0,75.0,0.0,0.0,749.75,0.0,Fair
1.0,-2.0,81.0,0.0,0.0,749.41,0.0,Fair
1.0,-3.0,75.0,0.0,0.0,749.41,0.0,Fair
1.0,-2.0,81.0,4.83,0.0,749.75,0.0,Fair
0.0,-2.0,87.0,0.0,0.0,750.42,0.0,Fair
1.0,-1.0,87.0,4.83,0.0,751.1,0.0,Fair
3.0,0.0,81.0,4.83,0.0,751.44,0.0,Fair
6.0,0.0,66.0,4.83,0.0,752.12,0.0,Fair
9.0,1.0,57.0,0.0,0.0,752.12,0.0,Fair
12.0,0.0,44.0,4.83,0.0,752.12,0.0,Fair
15.0,1.0,39.0,0.0,0.0,752.12,0.0,Fair
16.0,1.0,36.0,4.83,0.0,752.12,0.0,Fair
19.0,1.0,30.0,0.0,0.0,751.44,0.0,Fair
20.0,0.0,26.0,9.66,0.0,751.44,0.0,Fair
21.0,0.0,25.0,8.05,0.0,750.42,0.0,Fair
21.0,0.0,25.0,14.48,0.0,749.41,0.0,Fair
21.0,0.0,25.0,20.92,0.0,749.07,0.0,Fair
21.0,-3.0,20.0,16.09,0.0,749.07,0.0,Fair
21.0,1.0,27.0,19.31,0.0,748.73,0.0,Fair
17.0,5.0,45.0,25.75,0.0,749.41,0.0,Fair
14.0,5.0,55.0,11.27,0.0,750.42,0.0,Fair
13.0,5.0,58.0,4.83,0.0,751.1,0.0,Fair
10.0,4.0,66.0,11.27,0.0,751.44,0.0,Fair
9.0,4.0,71.0,4.83,0.0,752.12,0.0,Fair
10.0,5.0,71.0,8.05,0.0,752.12,0.0,Fair
8.0,5.0,81.0,0.0,0.0,752.46,0.0,Fair
7.0,5.0,87.0,8.05,0.0,752.12,0.0,Fair
6.0,5.0,93.0,0.0,0.0,752.12,0.0,Fair
5.0,5.0,100.0,4.83,0.0,752.12,0.0,Fair
3.0,3.0,100.0,0.0,0.0,751.44,0.0,Fair
2.0,2.0,100.0,0.0,0.0,751.78,0.0,Fair
2.0,2.0,100.0,0.0,0.0,752.12,0.0,Fair
2.0,2.0,100.0,0.0,0.0,752.46,0.0,Fair
3.0,3.0,100.0,4.83,0.0,753.13,0.0,Fair
7.0,5.0,87.0,4.83,0.0,753.81,0.0,Fair
11.0,6.0,71.0,11.27,0.0,754.15,0.0,Haze
14.0,6.0,59.0,0.0,0.0,753.81,0.0,Fair
16.0,6.0,52.0,14.48,0.0,753.13,0.0,Fair
18.0,6.0,45.0,11.27,0.0,752.12,0.0,Fair
19.0,5.0,40.0,12.87,0.0,751.44,0.0,Fair
20.0,5.0,37.0,3.22,0.0,750.42,0.0,Fair
19.0,6.0,43.0,22.53,0.0,750.42,0.0,Mostly Cloudy
17.0,6.0,48.0,19.31,0.0,750.42,0.0,Mostly Cloudy
13.0,6.0,63.0,19.31,0.0,751.44,0.0,Partly Cloudy
12.0,6.0,67.0,4.83,0.0,752.12,0.0,Fair
11.0,6.0,71.0,8.05,0.0,752.12,0.0,Fair
11.0,6.0,71.0,9.66,0.0,752.46,0.0,Fair
9.0,6.0,82.0,4.83,0.0,752.79,0.0,Fair
8.0,5.0,81.0,4.83,0.0,753.47,0.0,Fair
7.0,5.0,87.0,0.0,0.0,753.47,0.0,Fair
7.0,4.0,81.0,4.83,0.0,753.47,0.0,Fair
6.0,4.0,87.0,0.0,0.0,753.13,0.0,Fair
4.0,2.0,87.0,0.0,0.0,752.79,0.0,Fair
3.0,3.0,100.0,0.0,0.0,752.46,0.0,Fair
3.0,3.0,100.0,0.0,0.0,752.79,0.0,Fair
2.0,2.0,100.0,0.0,0.0,752.79,0.0,Fog
1.0,1.0,100.0,0.0,0.0,752.79,0.0,Fog
1.0,1.0,100.0,0.0,0.0,753.13,0.0,Fog
1.0,1.0,100.0,0.0,0.0,753.13,0.0,Fog
1.0,1.0,100.0,0.0,0.0,753.47,0.0,Fog
6.0,5.0,93.0,0.0,0.0,753.81,0.0,Fog
11.0,5.0,67.0,4.83,0.0,754.15,0.0,Fog
14.0,5.0,55.0,9.66,0.0,753.47,0.0,Haze
15.0,5.0,51.0,8.05,0.0,753.47,0.0,Fair
18.0,0.0,30.0,9.66,0.0,752.79,0.0,Fair
18.0,-2.0,26.0,11.27,0.0,752.46,0.0,Fair
20.0,-2.0,23.0,9.66,0.0,751.44,0.0,Fair
21.0,-3.0,20.0,4.83,0.0,750.09,0.0,Fair
22.0,-3.0,19.0,8.05,0.0,749.41,0.0,Fair
22.0,-3.0,19.0,8.05,0.0,749.07,0.0,Fair
20.0,5.0,37.0,32.19,0.0,749.07,0.0,Fair
17.0,4.0,42.0,20.92,0.0,749.41,0.0,Fair
15.0,5.0,51.0,16.09,0.0,750.09,0.0,Fair
13.0,4.0,54.0,9.66,0.0,750.42,0.0,Fair
8.0,4.0,76.0,0.0,0.0,751.1,0.0,Fair
